,selected_features,num_selected_features,time,accuracy,time_of_feature_selection,f1_score
0,[15],1,84.2316222190857,0.6365007541478129,84.23062181472778,0.7295173961840627
0,"[15, 314]",2,170.723557472229,0.7209653092006033,86.47746014595032,0.7746650426309378
0,"[15, 314, 428]",3,258.9251239299774,0.7541478129713424,88.1985592842102,0.7959949937421777
0,"[15, 314, 428, 387]",4,347.0031690597534,0.7782805429864253,88.0745279788971,0.8122605363984674
0,"[15, 314, 428, 387, 141]",5,439.56746196746826,0.7948717948717948,92.56228470802307,0.8229166666666666
0,"[15, 314, 428, 387, 141, 504]",6,531.0748701095581,0.8054298642533937,91.50439882278442,0.8291390728476821
0,"[15, 314, 428, 387, 141, 504, 707]",7,625.4451262950897,0.8114630467571644,94.36624693870544,0.8344370860927153
0,"[15, 314, 428, 387, 141, 504, 707, 392]",8,720.1421709060669,0.8159879336349924,94.69403314590454,0.8377659574468086
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457]",9,814.2849276065826,0.8205128205128205,94.14023518562317,0.8411214953271028
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351]",10,914.5181455612183,0.8265460030165912,100.22968792915344,0.8464619492656876
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461]",11,1013.0938122272491,0.8310708898944194,98.5731565952301,0.8498659517426274
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399]",12,1111.4071600437164,0.8340874811463047,98.31134867668152,0.8513513513513513
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541]",13,1210.2418627738953,0.8371040723981901,98.8317003250122,0.8548387096774193
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689]",14,1308.077266216278,0.8431372549019608,97.83211088180542,0.8605898123324398
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277]",15,1409.9938669204712,0.8476621417797888,101.91359686851501,0.8636977058029691
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277, 138]",16,1522.685176372528,0.8506787330316742,112.68930983543396,0.8660351826792964
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277, 138, 403]",17,1646.243036031723,0.8536953242835595,123.55484914779663,0.8683853459972863
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277, 138, 403, 316]",18,1758.24210190773,0.8552036199095022,111.99555277824402,0.8695652173913044
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277, 138, 403, 316, 361]",19,1875.5769305229187,0.8567119155354449,117.33182692527771,0.8710990502035278
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277, 138, 403, 316, 361, 712]",20,1985.4856925010681,0.8582202111613876,109.90676236152649,0.8722826086956522
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277, 138, 403, 316, 361, 712, 876]",21,2094.8478307724,0.8597285067873304,109.36014032363892,0.8738127544097694
0,"[15, 314, 428, 387, 141, 504, 707, 392, 457, 351, 461, 399, 541, 689, 277, 138, 403, 316, 361, 712, 876, 934]",22,2201.400932788849,0.861236802413273,106.55009818077087,0.875
